6 2 64
A0 A1 A2 B0 B1 B2 O0 O1
1 1 0 1 1 1 0 1
1 1 1 0 0 1 0 1
0 0 1 0 1 0 0 0
0 1 1 0 1 1 1 1
1 0 1 1 1 0 0 0
0 0 1 0 1 1 0 1
0 1 0 0 0 0 0 0
0 1 0 0 1 1 0 0
0 1 1 0 1 0 0 0
1 1 0 1 1 0 1 0
1 0 0 0 0 1 0 0
1 0 0 0 0 0 0 0
0 1 1 0 0 1 0 1
1 1 1 1 0 1 0 1
0 1 1 0 0 0 0 0
1 0 0 1 0 1 0 0
0 0 0 0 0 1 0 0
0 0 1 0 0 0 0 0
1 0 1 0 0 0 0 0
1 1 0 1 0 0 0 0
1 1 1 1 1 1 1 1
1 0 0 1 1 1 0 1
1 1 1 0 1 1 0 1
1 1 0 0 1 1 0 0
0 0 1 1 1 0 0 0
0 0 0 0 0 0 1 0
1 0 0 1 1 0 0 0
1 0 1 0 0 1 0 1
0 0 0 0 1 1 0 0
1 0 1 1 1 1 0 1
0 0 1 1 0 0 0 0
0 1 1 1 1 0 0 0
1 0 0 1 0 0 1 0
1 1 1 0 1 0 0 0
1 1 1 1 1 0 0 0
1 0 1 1 0 1 1 1
0 0 0 0 1 0 0 0
1 0 1 0 1 0 0 0
0 1 1 1 1 1 0 1
1 0 0 0 1 1 0 0
1 1 0 0 0 0 0 0
0 0 0 1 0 1 0 0
1 1 1 0 0 0 0 0
0 1 1 1 0 1 0 1
0 0 0 1 1 0 0 0
0 1 0 1 1 0 0 0
1 1 0 0 0 1 0 0
0 1 0 0 1 0 1 0
1 0 1 1 0 0 0 0
0 0 1 1 0 1 0 1
1 1 0 1 0 1 0 0
0 0 0 1 1 1 0 1
1 1 1 1 0 0 0 0
0 1 0 0 0 1 0 0
0 0 1 0 0 1 1 1
0 1 0 1 0 1 0 0
1 0 0 0 1 0 0 0
0 1 0 1 0 0 0 0
1 1 0 0 1 0 0 0
0 0 1 1 1 1 0 1
0 1 0 1 1 1 0 1
1 0 1 0 1 1 0 1
0 1 1 1 0 0 0 0
0 0 0 1 0 0 0 0
